epoch,loss,starts_0_accuracy,starts_0_loss,starts_1_accuracy,starts_1_loss,stops_0_accuracy,stops_0_loss,stops_1_accuracy,stops_1_loss,val_loss,val_starts_0_accuracy,val_starts_0_loss,val_starts_1_accuracy,val_starts_1_loss,val_stops_0_accuracy,val_stops_0_loss,val_stops_1_accuracy,val_stops_1_loss
0,15.61250893031109,0.18533714,3.5440245,0.09471995,4.1336145,0.07251159,3.768735,0.049500536,4.1567116,13.385094415022992,0.34641457,2.5576987,0.14520156,3.915548,0.16696396,2.9196365,0.06243311,3.967965
1,12.729656308623582,0.3423118,2.5269907,0.25294328,3.7012827,0.23198359,2.7062624,0.07384945,3.7922568,12.077273157210254,0.34855512,2.4359484,0.34855512,3.4930878,0.3296468,2.4866889,0.07920086,3.6341984
2,11.488249471516767,0.35845524,2.3356824,0.35087407,3.3107493,0.33392793,2.3469968,0.11113093,3.4939954,11.13315417568385,0.34891188,2.233544,0.34855512,3.207053,0.3995719,2.2292345,0.12736353,3.4357083
3,10.49912534353778,0.3833393,2.1295958,0.35649306,2.9773316,0.38289332,2.1327493,0.18854798,3.2578735,10.317211311372995,0.37174457,2.0620687,0.34855512,2.9429252,0.4384588,2.0355184,0.2318944,3.250373
4,9.802205660408665,0.40554762,1.9997841,0.3597039,2.702366,0.4021584,2.040925,0.27006778,3.0575013,9.547824156356631,0.37174457,1.9618521,0.34891188,2.6419702,0.4438102,1.886808,0.29147342,3.0280259
5,9.300392775887724,0.41188014,1.9405651,0.36648235,2.50129,0.4193721,1.975618,0.32581162,2.8815823,9.142146236080805,0.40420976,1.8914475,0.35105243,2.5043666,0.4637888,1.8282223,0.35676062,2.8902977
6,8.97600083175915,0.4157153,1.9084969,0.37468782,2.366926,0.42739922,1.9576573,0.36255798,2.743507,8.815126700440432,0.41955048,1.8492428,0.35711738,2.3896863,0.47413486,1.790682,0.39885837,2.757694
7,8.73212896497429,0.42142347,1.882196,0.37665,2.2741117,0.43649662,1.949852,0.3833393,2.6263816,8.397565251029564,0.41241527,1.7860341,0.36211202,2.2521677,0.4680699,1.7226292,0.4131288,2.609368
8,8.505258268940844,0.4265965,1.8446026,0.38449875,2.1971345,0.44006422,1.9294114,0.40233678,2.5347865,8.165327990773827,0.4191937,1.7502232,0.36996076,2.1805136,0.48055655,1.7024932,0.43061006,2.4943495
9,8.33389314378622,0.42713165,1.8356045,0.3886015,2.1481478,0.44595078,1.9020896,0.41268283,2.447182,7.919260622474325,0.4327506,1.6917753,0.36924723,2.1260967,0.4791295,1.674995,0.44916162,2.389831
10,8.17605963375923,0.4357831,1.8089802,0.39787728,2.0950365,0.45076704,1.8926698,0.4200856,2.378642,7.866736842953984,0.4213343,1.7326247,0.3767392,2.0878851,0.47948626,1.6914197,0.44880486,2.3162172
11,8.067838337435877,0.43319657,1.7992305,0.4004638,2.0623255,0.4573671,1.88373,0.4284695,2.3222225,7.706177581517644,0.44595078,1.6627806,0.3803068,2.0466053,0.47413486,1.6804699,0.44416696,2.2824154
12,7.993451818669646,0.43908313,1.7806079,0.40635034,2.035206,0.45165893,1.8862842,0.42811275,2.2897573,7.6537170206016185,0.4666429,1.680786,0.4084909,2.0240972,0.47306457,1.7068629,0.46343204,2.203622
13,7.924926481202718,0.43605065,1.7714878,0.4122369,2.00979,0.44898322,1.8804134,0.42864788,2.2650144,7.4366869247686935,0.46271852,1.6235476,0.40456653,1.9686103,0.4884053,1.6633898,0.47948626,2.1478965
14,7.8598753030581685,0.44229397,1.7682469,0.4147342,1.9872147,0.45058864,1.8750947,0.43337494,2.2294214,7.387536574890049,0.46236175,1.6095706,0.4084909,1.9502271,0.47770247,1.6848325,0.47413486,2.1102896
15,7.817927492885474,0.44229397,1.7617652,0.41946128,1.9678673,0.4537995,1.8792247,0.4384588,2.2085416,7.32846385361763,0.46236175,1.5972646,0.4131288,1.9246192,0.4773457,1.6721764,0.47235104,2.096173
16,7.684943446507422,0.45148057,1.7385464,0.42276132,1.9338466,0.4576347,1.8483033,0.43819124,2.166236,7.308288934866191,0.45772386,1.6031799,0.4120585,1.9183726,0.48769176,1.6689734,0.47342134,2.0804856
17,7.641410801438744,0.44800213,1.7212989,0.42713165,1.9284291,0.45870495,1.8374665,0.4439886,2.1557405,7.240846070314449,0.47199428,1.5856382,0.42418838,1.8888588,0.4919729,1.6682175,0.48127007,2.058715
18,7.629789619500238,0.45174813,1.7342777,0.4282911,1.9133954,0.45594007,1.8425313,0.44595078,2.1395795,7.238475717394173,0.4837674,1.5785899,0.44166964,1.8818423,0.48162684,1.6929289,0.47235104,2.052007
19,7.607727392375618,0.4463967,1.7431165,0.43239385,1.9088112,0.46084553,1.838355,0.45085624,2.119361,7.2640737196057765,0.47770247,1.5793767,0.44309667,1.880009,0.4748484,1.7099274,0.4727078,2.0525074
0,7.461509311279993,0.45522654,1.6946045,0.43248305,1.8806831,0.47324297,1.798853,0.45816982,2.0876231,7.182780181770447,0.4791295,1.56028,0.43988582,1.8663101,0.4809133,1.678484,0.4773457,2.0374098
1,7.461456004015854,0.4555833,1.6899884,0.43952906,1.8765811,0.47074562,1.8006383,0.45540494,2.093915,7.149673355761231,0.48127007,1.5540637,0.43631822,1.8613958,0.48590794,1.6628205,0.48019978,2.0321448
2,7.475622471766178,0.45888335,1.6877265,0.44059935,1.877031,0.4702105,1.8152645,0.44782376,2.0968716,7.13547473356973,0.48019978,1.5528622,0.43453443,1.8614815,0.4884053,1.651914,0.4809133,2.030737
3,7.4377121501763375,0.45897254,1.6857522,0.4421156,1.8762497,0.47502676,1.7899591,0.45888335,2.0844927,7.127708584421072,0.48055655,1.5527836,0.4348912,1.8615961,0.49054584,1.6449827,0.48305386,2.030425
