epoch,loss,starts_0_accuracy,starts_0_loss,starts_1_accuracy,starts_1_loss,stops_0_accuracy,stops_0_loss,stops_1_accuracy,stops_1_loss,val_loss,val_starts_0_accuracy,val_starts_0_loss,val_starts_1_accuracy,val_starts_1_loss,val_stops_0_accuracy,val_stops_0_loss,val_stops_1_accuracy,val_stops_1_loss
0,14.90537493321626,0.25606492,3.1113677,0.044951838,4.1576915,0.079914376,3.472368,0.046914022,4.1587024,14.087130323716925,0.22618623,2.9871094,0.08704959,3.9565353,0.24152693,3.1465738,0.05208705,3.995052
1,12.739139297626888,0.3403496,2.483034,0.06733856,3.7371857,0.21994291,2.717714,0.07028184,3.7977738,12.525729667617302,0.30752766,2.583727,0.21512665,3.6160107,0.34106314,2.616896,0.107741706,3.7074022
2,11.326862744165666,0.3676418,2.1822329,0.1739208,3.338638,0.34124154,2.3207257,0.11407421,3.4831953,10.98186833629683,0.36639315,2.1868105,0.33749554,3.2187881,0.40991795,2.1712134,0.12807706,3.401249
3,10.316975416305276,0.40224758,1.9885242,0.35274705,2.9924393,0.39725295,2.103327,0.20986444,3.2303069,10.226399588066045,0.37352836,2.064044,0.3460578,2.9432404,0.4484481,2.004565,0.19907242,3.2097766
4,9.587714162248822,0.41972888,1.8892211,0.36915806,2.7079759,0.42508027,1.9692448,0.30993578,3.0201447,9.779786264390296,0.3885123,2.0106173,0.34677133,2.733696,0.46771318,1.9478763,0.31751695,3.0810688
5,9.031706385726466,0.43667498,1.8202695,0.37905815,2.4877923,0.44987515,1.8832755,0.37736353,2.83998,9.382466290025171,0.37388512,1.9583925,0.34712806,2.5812285,0.47948626,1.8747668,0.360685,2.962269
6,8.693323656613599,0.4420264,1.800933,0.38735282,2.336222,0.45620763,1.863408,0.40982875,2.691546,9.174917384381384,0.353193,2.0304842,0.34641457,2.4715812,0.48055655,1.8018976,0.36567962,2.8624594
7,8.345983267766087,0.44782376,1.7426518,0.3960043,2.226149,0.4656618,1.817521,0.42695326,2.5598583,8.52548509285444,0.4156261,1.8179544,0.35354978,2.3390803,0.4826971,1.7088356,0.45344275,2.6475286
8,8.147194413597823,0.44773456,1.7360241,0.40171245,2.1494224,0.47440243,1.799744,0.4410453,2.4628432,8.412552878808176,0.39529076,1.859317,0.35212272,2.2748022,0.4944702,1.685071,0.43310738,2.5840127
9,8.005341101832531,0.46334285,1.7248727,0.4129504,2.0806444,0.46842667,1.8106781,0.44158044,2.3890982,8.028566315222585,0.44095612,1.7529587,0.3642526,2.1908002,0.4891188,1.6449718,0.46878344,2.4297738
10,7.819377655562783,0.46699965,1.7016689,0.4212451,2.0347779,0.47993222,1.7743984,0.4556725,2.3101628,7.765831269581659,0.43881556,1.7114848,0.36996076,2.1225262,0.49661076,1.5998281,0.47984302,2.3182437
11,7.735300220594294,0.4680699,1.700917,0.42998573,1.999849,0.48064575,1.77247,0.45531574,2.2613366,7.636925870505478,0.44702104,1.7207984,0.40171245,2.0632994,0.4809133,1.6151925,0.47520512,2.2118385
12,7.594434397585512,0.4736889,1.6731929,0.43444523,1.9522458,0.4839458,1.7603028,0.45790225,2.2093358,7.526033864206728,0.44666427,1.6880974,0.38387442,2.056687,0.50160545,1.5737106,0.49304315,2.1945713
13,7.546921720685084,0.472797,1.6776525,0.44354263,1.93357,0.48109168,1.75154,0.46539423,2.1854258,7.355006743957432,0.45843738,1.6487917,0.41134498,1.9851314,0.5001784,1.5893544,0.4919729,2.1151037
14,7.467440124073498,0.47136995,1.6810588,0.4421156,1.9133929,0.48697823,1.7421094,0.47681057,2.1318028,7.297207413849302,0.46628612,1.6370854,0.42454514,1.9481516,0.4837674,1.620513,0.47591865,2.0716937
15,7.372466676965851,0.4862647,1.650203,0.45638603,1.8802632,0.48483768,1.7239614,0.4693186,2.11695,7.177702658779486,0.45843738,1.6435046,0.429183,1.9172171,0.50303245,1.5775813,0.50053513,2.028669
16,7.357828279244147,0.4747592,1.6587644,0.45148057,1.8728414,0.48679987,1.738903,0.47351053,2.0900028,7.134957337183821,0.46164823,1.621715,0.420264,1.925934,0.50552976,1.5585152,0.49946487,2.0207553
17,7.2228754271875735,0.48118088,1.6304631,0.45727792,1.840387,0.49027827,1.6970966,0.48403496,2.0556128,7.655830433995563,0.4348912,1.8375139,0.4249019,1.9529839,0.47128078,1.7548145,0.47092402,2.081964
18,7.240470071371393,0.48510525,1.6441293,0.45995364,1.8370188,0.49250802,1.7134134,0.4793079,2.0447922,9.278067940607523,0.369604,2.5303442,0.39885837,2.1095235,0.4420264,2.2972796,0.4327506,2.2790582
19,7.137187740694741,0.4865323,1.6365112,0.4645023,1.8128265,0.5023189,1.6760566,0.49206206,2.0128973,7.257194786296331,0.4591509,1.7102914,0.43881556,1.9141173,0.4973243,1.6159029,0.48341063,2.008546
0,7.088995979804462,0.4891188,1.6177567,0.4647699,1.8001577,0.49518374,1.6684716,0.4837674,2.0015726,7.044271986100914,0.4666429,1.6250615,0.45130217,1.86723,0.50767034,1.5729036,0.4955405,1.9678998
1,7.0500474617475275,0.49348912,1.60174,0.4718159,1.7854775,0.49429184,1.6628032,0.48671067,2.0003092,6.9447443344913715,0.4748484,1.5880302,0.45486978,1.8396868,0.50767034,1.555912,0.49875134,1.9468349
2,7.028802005810011,0.49491617,1.5801667,0.47850516,1.7760164,0.48894042,1.6659492,0.48242953,2.006918,6.90353518879673,0.48234034,1.5742525,0.454513,1.8300576,0.50945413,1.5442041,0.50124866,1.9394563
3,7.013622200918589,0.48813772,1.5999829,0.465751,1.7905263,0.5066001,1.6423756,0.4945594,1.9813336,6.886136297238881,0.48483768,1.5689458,0.453086,1.8246431,0.51052445,1.5400888,0.5019622,1.9359779
4,7.027898511332016,0.4946486,1.5929841,0.4710132,1.7834374,0.50472707,1.6610966,0.49607563,1.9910561,6.873997829830565,0.4837674,1.5652035,0.45272923,1.8222271,0.51016766,1.5360699,0.5023189,1.9339265
5,7.0052419294002775,0.4917945,1.591834,0.4693186,1.7839179,0.50008917,1.6467315,0.4955405,1.9819111,6.86773113484813,0.48341063,1.5628666,0.4520157,1.81859,0.5108812,1.5369705,0.50338924,1.9320397
6,7.001560485750022,0.49473777,1.5917217,0.47333214,1.7772102,0.5031217,1.6512008,0.49152693,1.9802028,6.861251107378172,0.4837674,1.5604434,0.453086,1.8180294,0.5115947,1.5340163,0.50410277,1.9314839
7,6.972882127234479,0.49402425,1.5750413,0.47413486,1.7781459,0.5013378,1.6481068,0.49348912,1.9710724,6.857327216784953,0.48590794,1.5586238,0.45272923,1.8170666,0.51230824,1.5328183,0.50303245,1.9317247
8,6.981217162846413,0.49527293,1.5858613,0.4728862,1.7775865,0.5081163,1.640994,0.49857295,1.9776825,6.85011384013377,0.4862647,1.5564862,0.454513,1.814278,0.51230824,1.5317291,0.503746,1.9306172
9,7.026659482043427,0.49063504,1.5923537,0.47306457,1.7794309,0.49866214,1.6637889,0.49027827,1.9919792,6.849605805781157,0.48662147,1.5571061,0.45272923,1.8140467,0.5090974,1.5313402,0.5048163,1.930123
0,7.008069109670018,0.49482697,1.5841469,0.47574028,1.7696592,0.5033,1.6635998,0.49027827,1.9900109,6.754941837216887,0.49982163,1.5275211,0.4602212,1.7808774,0.51516235,1.5321515,0.511238,1.9143926
1,6.825612616122216,0.51212984,1.5370575,0.4865323,1.7314559,0.5134677,1.6090312,0.50392437,1.9452915,6.691743154080051,0.50338924,1.508411,0.4691402,1.7690969,0.52158403,1.5156465,0.5158759,1.8982865
2,6.745754261166549,0.5104352,1.5272456,0.48608634,1.7268112,0.5210489,1.5727764,0.5102569,1.9205699,6.644534595175126,0.50588655,1.5010241,0.4691402,1.7617745,0.52408135,1.4988277,0.5247949,1.8823048
3,6.710055364696545,0.5165002,1.5138215,0.48920798,1.7132182,0.5207813,1.5694251,0.5148948,1.904816,6.614278014200396,0.5115947,1.4941101,0.4691402,1.756467,0.52871925,1.489743,0.5337139,1.8731358
